Snapshot,865000000.00 Hz,865083333.33 Hz,865166666.67 Hz,865250000.00 Hz,865333333.33 Hz,865416666.67 Hz,865500000.00 Hz,865583333.33 Hz,865666666.67 Hz,865750000.00 Hz,865833333.33 Hz,865916666.67 Hz,866000000.00 Hz,866083333.33 Hz,866166666.67 Hz,866250000.00 Hz,866333333.33 Hz,866416666.67 Hz,866500000.00 Hz,866583333.33 Hz,866666666.67 Hz,866750000.00 Hz,866833333.33 Hz,866916666.67 Hz,867000000.00 Hz
Sweep 1,-88.03125,-92.65625,-90.65625,-87.65625,-94.15625,-90.15625,-84.65625,-87.15625,-83.65625,-84.65625,-88.15625,-92.65625,-90.65625,-88.15625,-92.65625,-91.65625,-92.15625,-89.53125,-87.65625,-94.15625,-89.53125,-94.65625,-86.53125,-89.53125,-90.03125
Sweep 2,-74.03125,-83.15625,-39.03125,-52.15625,-31.03125,-38.65625,-29.15625,-51.15625,-31.65625,-79.65625,-65.03125,-79.65625,-87.53125,-84.65625,-91.15625,-90.15625,-89.03125,-86.15625,-94.65625,-86.15625,-88.65625,-86.65625,-93.15625,-89.03125,-90.65625
Sweep 3,-80.03125,-64.53125,-81.65625,-76.65625,-30.03125,-36.65625,-34.03125,-31.15625,-84.53125,-70.03125,-49.65625,-85.15625,-86.03125,-89.03125,-92.15625,-89.53125,-96.03125,-92.03125,-92.65625,-90.15625,-86.65625,-93.53125,-89.15625,-91.03125,-90.65625
Sweep 4,-83.65625,-75.53125,-30.03125,-49.03125,-29.65625,-35.53125,-32.65625,-57.03125,-41.15625,-78.53125,-60.65625,-82.65625,-79.65625,-85.03125,-81.65625,-89.53125,-83.03125,-86.65625,-87.03125,-87.15625,-84.53125,-87.53125,-85.03125,-91.15625,-90.53125
Sweep 5,-53.15625,-56.03125,-79.15625,-73.15625,-33.53125,-34.65625,-28.65625,-49.53125,-78.03125,-49.65625,-45.15625,-84.53125,-83.15625,-82.53125,-89.53125,-91.03125,-89.53125,-90.03125,-93.15625,-87.65625,-91.53125,-90.53125,-86.03125,-92.65625,-89.53125
Sweep 6,-86.15625,-87.15625,-88.15625,-92.53125,-91.15625,-88.15625,-88.53125,-88.53125,-91.53125,-86.53125,-85.15625,-88.65625,-87.15625,-98.15625,-90.15625,-85.15625,-86.15625,-85.53125,-85.15625,-81.53125,-87.15625,-55.65625,-55.03125,-31.15625,-40.65625
Sweep 7,-99.15625,-93.65625,-90.03125,-88.15625,-86.53125,-96.53125,-90.65625,-91.03125,-91.65625,-85.03125,-87.53125,-85.65625,-88.15625,-85.15625,-88.65625,-86.65625,-85.15625,-81.15625,-90.65625,-90.65625,-91.65625,-92.15625,-88.65625,-95.53125,-89.15625
Sweep 8,-90.53125,-88.15625,-95.15625,-92.65625,-90.15625,-87.53125,-88.53125,-84.53125,-94.15625,-93.65625,-90.65625,-88.15625,-89.65625,-88.15625,-84.15625,-85.65625,-81.03125,-89.65625,-87.03125,-84.65625,-78.03125,-35.03125,-75.53125,-48.65625,-30.53125
Sweep 9,-87.65625,-91.53125,-86.03125,-92.03125,-91.15625,-91.65625,-89.03125,-90.65625,-91.15625,-86.15625,-90.65625,-86.65625,-90.53125,-90.15625,-89.65625,-85.15625,-87.15625,-77.03125,-85.15625,-78.53125,-90.65625,-88.03125,-89.65625,-93.53125,-91.65625
Sweep 10,-92.03125,-94.15625,-89.03125,-92.03125,-86.15625,-86.65625,-82.15625,-87.65625,-86.65625,-81.65625,-84.65625,-80.53125,-84.65625,-82.53125,-80.65625,-56.03125,-31.15625,-38.53125,-32.15625,-32.53125,-37.15625,-75.53125,-51.15625,-85.53125,-77.65625
Sweep 11,-87.15625,-91.65625,-84.15625,-88.03125,-84.15625,-88.65625,-86.15625,-87.15625,-82.65625,-82.65625,-87.53125,-88.65625,-86.03125,-86.65625,-85.65625,-83.15625,-40.03125,-39.15625,-29.65625,-29.65625,-46.65625,-71.15625,-85.53125,-90.03125,-91.65625
Sweep 12,-93.15625,-95.03125,-88.03125,-91.65625,-88.15625,-85.65625,-84.65625,-81.65625,-91.15625,-83.65625,-88.65625,-84.65625,-87.65625,-48.03125,-79.03125,-35.03125,-77.53125,-30.53125,-35.15625,-30.65625,-38.53125,-33.65625,-80.65625,-42.65625,-83.15625
Sweep 13,-89.65625,-92.65625,-86.15625,-95.65625,-88.65625,-85.65625,-89.65625,-85.15625,-85.65625,-83.53125,-84.65625,-87.15625,-80.03125,-84.65625,-41.53125,-55.15625,-47.65625,-47.03125,-30.65625,-29.65625,-49.15625,-44.65625,-80.53125,-46.65625,-83.15625
Sweep 14,-91.65625,-88.15625,-90.53125,-89.53125,-87.03125,-92.65625,-87.65625,-91.03125,-91.65625,-46.53125,-56.15625,-35.03125,-34.65625,-30.15625,-46.15625,-80.03125,-72.65625,-87.03125,-83.15625,-85.15625,-80.65625,-87.65625,-83.03125,-87.03125,-87.53125
Sweep 15,-88.15625,-86.15625,-89.65625,-84.03125,-84.15625,-76.15625,-78.03125,-88.15625,-79.03125,-29.53125,-46.03125,-32.15625,-31.53125,-29.65625,-58.15625,-32.15625,-82.65625,-80.15625,-75.65625,-87.03125,-91.03125,-86.65625,-84.03125,-90.65625,-92.53125
Sweep 16,-90.65625,-89.53125,-90.03125,-88.15625,-89.65625,-87.03125,-90.15625,-92.15625,-89.15625,-90.65625,-91.65625,-29.65625,-35.53125,-32.15625,-52.03125,-40.65625,-80.15625,-58.15625,-81.65625,-79.65625,-86.65625,-83.53125,-90.65625,-87.03125,-90.65625
